ywait1,ywait2,,,g,r,y,bf1,g,r,y,bstart,,bwait1,bwait2,,,,,,,,,,
ywait3,ywait4,,,b,,,bf2,,,b,,,bwait3,bwait4,,,,,,,,,,
,,,,y,,,bf3,,,g,,,,,,,,,,,,,,
ystart,,,,ruickst,right,right,bf4,right,right,rquicked,,,,,,,,,,,,,,
r,y,b,gquicked,,,,bf5,,,,yuickst,b,g,r,,,,,,,,,,
g,,,up,,,,bf6,,,,down,,,y,,,,,,,,,,
b,,,up,,,,bfinish,,,,down,,,b,,,,,,,,,,
yf1,yf2,yf3,yf4,yf5,yf6,yfinish,finish,gfinish,gf6,gf5,gf4,gf3,gf2,gf1,,,,,,,,,,
r,,,up,,,,rfinish,,,,down,,,r,,,,,,,,,,
g,,,up,,,,rf6,,,,down,,,y,,,,,,,,,,
b,y,r,gquickst,,,,rf5,,,,yquicked,r,g,b,,,,,,,,,,
,,,,bquicked,left,left,rf4,left,left,buickst,,,,gstart,,,,,,,,,,
,,,,y,,,rf3,,,g,,,,,,,,,,,,,,
rwait1,rwait2,,,r,,,rf2,,,r,,,gwait1,gwait2,,,,,,,,,,
rwait3,rwait4,,rstart,g,b,y,rf1,g,b,y,,,gwait3,gwait4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ludo csv mark.,,,,,,,,,,,,,,,,,,,,,,,,
y=yellow,,,,,,,,,,,,,,,,,,,,,,,,
b=blue,,,,,,,,,,,,,,,,,,,,,,,,
g=green,,,,,,,,,,,,,,,,,,,,,,,,
r=red,,,,,,,,,,,,,,,,,,,,,,,,
st=start,,,,,,,,,,,,,,,,,,,,,,,,
ed=end,,,,,,,,,,,,,,,,,,,,,,,,
yf=yellowfinish,,,,,,,,,,,,,,,,,,,,,,,,
